Start,End,Distance
4000,5164,50.64
4000,5174,92.12
4000,5181,100.76
4000,5189,81.41
4000,5200,6.85
4000,5201,113.16
4000,5205,154.74
4000,5207,20.43
4000,5212,114.98
4000,5213,111.08
4000,5215,39.04
4000,5226,93.34
4000,5229,127.85
4000,5231,
4000,5232,60.01
4000,5233,35.42
4000,5241,68.63
4000,5257,107.79
4000,5259,11.6
4000,5261,106.28
4000,5292,130.57
4000,5304,93.91
4000,5309,112.96
4000,5311,30.44
4000,5315,72.19
4000,5322,62.25
4000,5325,31.98
4000,5333,102.52
4000,5335,40.06
4000,5339,120.23
4000,5351,114.6
4000,5357,63.39
4000,5372,31.79
4000,5373,86.74
4000,5375,119.51
4000,5379,148.37
4000,5382,158.39
4000,5389,58.92
4000,5414,6.75
4000,5419,118.21
4000,5426,42.93
4000,5435,63.79
4000,5440,55.31
4000,5443,92.16
4000,5463,48.17
4000,5466,76.27
4000,5473,38.58
4000,5478,151.41
4000,5491,61.31
4000,5492,131.05
4000,5493,52.1
4000,5496,100.71
4000,5499,181.44
4000,5519,36.15
4000,5522,160.71
4000,5530,40.97
4000,5545,80.34
4000,5562,120.82
4000,5568,94.13
4000,5579,105.77
4000,5584,80.77
4000,5601,25.42
4000,5602,43.35
4000,5606,128.72
4000,5616,81.32
4000,5619,134.26
4000,5620,32.64
4000,5622,152.91
4000,5626,91.95
4000,5633,117.86
4000,5637,99.78
4000,5643,75.56
4000,5647,78.37
4000,5660,61.28
4000,5664,53.12
4000,5669,100.95
4000,5676,27.19
4000,5677,119.89
4000,5679,
4000,5685,38.73
4000,5686,11.14
4000,5690,104.95
4000,5694,164.7
4000,5699,118.09
4000,5700,43.4
4000,5721,64.27
4000,5722,86.58
4000,5723,24.73
4000,5729,69.41
4000,5738,53.45
4000,5739,115.97
4000,5741,22.81
4000,5747,144.41
4000,5754,60.93
4000,5763,96.06
4000,5764,62.16
4000,5768,117.21
4000,5769,149.68
4000,5771,158.49
4000,5782,104.76
4000,5789,100.08
4000,5793,134.22
4000,5795,120.34
4000,5801,101.22
4000,5804,65.51
4000,5805,
4000,5806,72.46
4000,5812,39.01
4000,5813,68.19
4000,5818,146.35
4000,5821,81.49
4000,5824,89.95
4000,5832,7.85
4000,5833,50.78
4000,5838,20.44
4000,5843,50.32
4000,5844,79.48
4000,5846,33.66
4000,5848,26.88
4000,5853,56.41
4000,5862,162.24
4000,5865,59.48
4000,5866,81.21
4000,5872,63.28
4000,5875,91.6
4000,5877,139.06
4000,5879,72.0
4000,5881,125.58
4000,5884,74.06
4000,5885,100.88
4000,5886,55.04
4000,5887,19.66
4000,5891,100.18
4000,5893,62.14
4000,5911,70.74
4000,5917,115.05
4001,1,37.43
4001,4000,27.64
4001,4001,0.0
4001,4002,23.75
4001,4006,149.19
4001,4008,38.47
4001,4010,49.53
4001,4011,121.74
4001,4012,102.71
4001,4014,81.3
4001,4015,61.67
4001,4016,52.61
4001,4018,134.07
4001,4021,86.02
4001,4027,10.36
4001,4032,92.39
4001,4033,56.95
4001,4034,75.54
4001,4035,125.7
4001,4045,75.86
