StringID,Type,Latitude,Longitude
5005,c,51.4902406,6.6005259
5033,c,50.8139579,7.1630809
5039,c,51.5322763,7.6118182
5049,c,50.5721671,6.2638037
5050,c,51.5799944,7.0530741
5051,c,51.0959597,6.8417706
5054,c,50.5441357,6.5762593
5067,c,51.5013663,6.8901983
5076,c,51.5340175,7.492579
5086,c,52.16543,8.85831
5087,c,51.3878306,7.3863544
5095,c,51.9858609,8.6746304
5096,c,50.8146737,7.1600668
5105,c,50.9225038,6.1137934
5106,c,51.16763,6.92907
5111,c,51.0249098,7.5678347
5118,c,52.12343,7.39568
5120,c,51.1482995,6.3630005
5125,c,51.4679435,6.7717685
5137,c,51.83035,7.27992
5140,c,51.4979904,6.83916
5143,c,51.10419,7.01207
5155,c,50.8796674,6.6934696
5162,c,51.4639824,6.9499521
5164,c,51.2495702,7.1426501
5174,c,51.278262,6.4621996
5181,c,51.19511,6.43104
5189,c,51.0282107,7.8502943
5200,c,51.5279925,7.582963
5201,c,52.2824159,7.4397845
5205,c,51.0172623,5.9013096
5207,c,51.5347622,7.6902377
5212,c,51.1394502,6.2751496
5213,c,51.7821789,8.8195462
5215,c,51.4905301,7.0822786
5226,c,52.14719,7.33651
5229,c,50.993141,6.5739271
5231,c,50.9294871,6.9424277
5232,c,51.32654,6.97249
5233,c,51.5490949,7.9168719
5241,c,51.1682785,6.9379105
5257,c,50.8301037,7.026613
5259,c,51.4756914,7.4433006
5261,c,51.32042,6.19728
5292,c,51.93464,8.8802493
5304,c,52.1757946,7.5275457
5309,c,52.2767937,7.436776
5311,c,51.3655461,7.6151395
5315,c,51.48791,8.33622
5322,c,51.17824,7.08224
5325,c,51.45879,7.19781
5333,c,51.74656,8.71473
5335,c,51.4505741,7.0317611
5339,c,51.0581301,8.3967209
5351,c,50.7802678,7.1885028
5357,c,51.8344993,8.0259942
5372,c,51.4367535,7.7963781
5373,c,51.35573,6.6491
5375,c,50.773512,7.2865707
5379,c,52.2859755,8.9158652
5382,c,50.7707125,6.1157951
5389,c,51.75507,8.0397
5414,c,51.5518825,7.542237
5419,c,52.0951372,8.5172391
5426,c,51.2194605,7.6241889
5435,c,51.1500062,7.3423268
5440,c,51.4674055,6.8560957
5443,c,52.04003,8.1574
5463,c,51.3901734,7.083339
5466,c,51.1432151,6.895062
5473,c,51.3752875,7.7038335
5478,c,50.7648412,6.2316646
5491,c,51.51486,6.84766
5492,c,51.0540705,6.2231529
5493,c,51.5201334,6.9260209
5496,c,50.9100119,6.8126827
5499,c,50.6053982,6.3063248
5519,c,51.4014861,7.1878965
5522,c,50.7723281,6.0794905
5530,c,51.486763,7.064073
5545,c,51.95135,7.98326
5562,c,50.7475687,6.8512499
5568,c,51.3961387,8.575019
5579,c,51.19299,8.53314
5584,c,51.04644,6.99243
5601,c,51.5483778,7.3074534
5602,c,51.45992,7.01275
5606,c,50.8779515,6.4691879
5616,c,51.18786,6.81814
5619,c,50.9221468,6.3608736
5620,c,51.6637699,7.6368039
5622,c,51.6691401,9.3745216
5626,c,50.9355503,7.0603942
5633,c,50.7395062,7.1017533
5637,c,51.83873,6.61687
5643,c,51.4472458,6.5718846
5647,c,51.6603351,6.6578632
5660,c,51.9047078,7.647439
5664,c,51.4272922,6.8814127
5669,c,51.1526332,8.2907901
5676,c,51.6517993,7.3411384
5677,c,51.67526,6.15708
5679,c,51.54973,7.21842
5685,c,51.5086186,7.0942846
5686,c,51.5179726,7.3831984
5690,c,51.1662455,6.4420089
5694,c,52.3764589,8.6293065
5699,c,50.8996752,6.6821578
5700,c,51.6542794,7.097104
5721,c,51.4206,6.77808
5722,c,51.9071806,8.3763017
5723,c,51.5896751,7.3356766
5729,c,51.67963,6.95788
5738,c,51.1895767,7.2616654
5739,c,51.3063195,6.2769729
5741,c,51.4774533,7.3024429
5747,c,50.92654,8.41228
5754,c,51.3130847,7.0671854
5763,c,50.934971,6.9388846
5764,c,51.2821918,7.0338088
5768,c,50.7431216,7.0909689
5769,c,50.96351,6.12038
5771,c,50.7759557,6.0911731
5782,c,50.8962969,8.0260453
5789,c,51.1966325,6.4433994
5793,c,50.80167,6.48455
5795,c,50.7265471,7.0721303
5801,c,50.9343914,6.9564192
5804,c,51.5626653,6.7415083
5805,c,51.1756642,6.8334581
5806,c,51.2364108,6.7787054
5812,c,51.5936529,7.1369345
5813,c,51.9259,7.67059
5818,c,50.9244304,6.2078475
5821,c,51.2018065,6.6863875
5824,c,51.83294,7.04549
5832,c,51.51245,7.42429
5833,c,51.4285922,6.8857658
5838,c,51.6141991,7.6311032
5843,c,51.2262684,7.1998964
5844,c,51.1065544,6.9489188
5846,c,51.5324283,7.1578784
5848,c,51.4794385,7.2167885
5853,c,51.7631204,7.8956583
5862,c,50.7802746,6.0799484
5865,c,51.127297,7.5995104
5866,c,51.663334,6.6192246
5872,c,51.43206,6.77197
5875,c,50.9619716,6.9549322
5877,c,52.21109,8.81274
5879,c,51.6701047,8.3444301
5881,c,51.87851,8.95206
5884,c,51.2507,6.9753
5885,c,51.9464802,8.5869719
5886,c,51.4746754,6.8429353
5887,c,51.5930108,7.6592378
5891,c,52.18918,7.85099
5893,c,51.5434032,6.816852
5911,c,51.2446013,6.7874114
5917,c,50.8027437,6.8163562
